id_dispositivo;frequencia_hz;codigo_regiao;nivel_prioridade;consumo_watts;status_operacional;versao_firmware;temperatura_interna
DEV_000;2400.5;101;1;15.5;1;v1.0;35
DEV_001;5000.1;202;3;42.0;2;v2.1;42
DEV_002;2412.0;101;2;12.8;0;v1.0;33
DEV_003;5180.0;303;1;55.2;1;v3.0;50
DEV_004;2437.2;202;2;30.1;4;v2.1;38
DEV_005;5240.5;101;3;45.3;2;v1.0;41
DEV_006;2462.0;303;1;10.2;1;v3.0;30
DEV_007;5300.0;202;2;60.5;0;v2.1;55
DEV_008;2400.0;101;3;14.7;4;v1.0;34
DEV_009;5500.0;101;1;48.9;1;v1.0;48
DEV_010;2412.5;303;2;18.2;2;v3.0;36
DEV_011;5180.2;202;3;40.5;1;v2.1;43
DEV_012;2437.0;101;1;11.9;0;v1.0;32
DEV_013;5240.1;202;2;52.3;1;v2.1;51
DEV_014;2462.3;303;3;33.4;4;v3.0;39
DEV_015;5300.5;101;1;44.1;2;v1.0;40
DEV_016;2400.8;202;2;13.5;1;v2.1;31
DEV_017;5500.2;303;3;58.7;0;v3.0;56
DEV_018;2412.9;101;1;16.2;4;v1.0;35
DEV_019;5180.7;202;2;49.8;1;v2.1;47
